FF,フロントエンジン・フロントドライブ,,,,,,
FR,フロントエンジン・リアドライブ,,,,,,
MR,ミッドシップエンジン・リアドライブ,,,,,,
RR,リアエンジン・リアドライブ,,,,,,
4WD,フロントエンジン・4輪駆動,,,,,,
M4WD,ミッドシップエンジン・4輪駆動,,,,,,
E4WD,電気式4輪駆動,,,,,,
4G,4サイクル・レシプロエンジン・ガソリン,,,,,,
4RoG,4サイクル・ロータリーエンジン・ガソリン,,,,,,
R,レギュラー,,,,,,
P,プレミアム,,,,,,
L,軽油,,,,,,
直2,直列2ロータ,,,,,,
直3,直列3気筒,,,,,,
直4 モータ,直列4気筒　&　電動モータ,,,,,,
直4,直列4気筒,,,,,,
V6,V型6気筒,,,,,,
V8,V型8気筒,,,,,,
対4,水平対向4気筒,,,,,,
対6,水平対向6気筒,,,,,,
SOHC,シングル・オーバーヘッド・カムシャフト,,,,,,
DOHC,ダブル・オーバーヘッド・カムシャフト,,,,,,
OHV,オーバーヘッド・バルブ,,,,,,
MT,マニュアル,,,,,,
AT,オートマチック,,,,,,
EAT,電子制御オートマチック,,,,,,
CVT,無段変速,,,,,,
M-CVT,マニュアルモードモード付き無段変速,,,,,,
SAT,セミオートマチック,,,,,,
